;USD-EUR;USD-GBP;USD-CHF;EUR-USD;EUR-GBP;EUR-CHF;GBP-USD;GBP-EUR;GBP-CHF;CHF-USD;CHF-EUR;CHF-GBP;USD-PLN;EUR-PLN;GBP-PLN;CHF-PLN;timestamp
2020-08-01;0.8440243079;0.76006921;0.9089297772;1.1848;0.90053;1.0769;1.3156696612;1.1104571752;1.195851332;1.1001950042;0.928591327;0.8362243477;3.7165766374;4.4034;4.8897871254;4.0889590491;2020-08-01
2020-08-02;0.8440243079;0.76006921;0.9089297772;1.1848;0.90053;1.0769;1.3156696612;1.1104571752;1.195851332;1.1001950042;0.928591327;0.8362243477;3.7165766374;4.4034;4.8897871254;4.0889590491;2020-08-02
2020-08-03;0.8528057309;0.7676360225;0.9196657002;1.1726;0.90013;1.0784;1.302700721;1.1109506405;1.1980491707;1.087351632;0.9272997033;0.8346902819;3.769486611;4.4201;4.9105129259;4.0987574184;2020-08-03
