timestamp;USD-EUR;USD-GBP;USD-CHF;EUR-USD;EUR-GBP;EUR-CHF;GBP-USD;GBP-EUR;GBP-CHF;CHF-USD;CHF-EUR;CHF-GBP;USD-PLN;EUR-PLN;GBP-PLN;CHF-PLN
03.02.2019;0.8717635779999999;0.7661755729999999;0.9934617729999999;1.1471;0.8788799999999999;1.1396;1.30518387;1.13781176;1.296650282;1.0065812570000001;0.877500878;0.7712179709999999;3.725830355;4.2739;4.862893683;3.750351
04.02.2019;0.8737439929999999;0.7660812579999999;0.997903014;1.1445;0.8767799999999999;1.1421;1.3053445559999999;1.140536965;1.302607268;1.002101392;0.875580072;0.767691095;3.7410222810000002;4.2816;4.883323068999999;3.748883635
05.02.2019;0.875426771;0.768650967;1.001138055;1.1423;0.87803;1.1436;1.300980604;1.138913249;1.302461192;0.9988632390000001;0.8744316190000001;0.767777195;3.753129651;4.2872;4.882748881;3.748863239
06.02.2019;0.877654906;0.7711953659999999;1.0;1.1394;0.8787;1.1394;1.29668829;1.138044839;1.29668829;1.0;0.877654906;0.7711953659999999;3.767158153;4.2923;4.884829862;3.767158153
07.02.2019;0.881445571;0.773468488;1.001057735;1.1345;0.8775;1.1357;1.292877493;1.13960114;1.2942450140000001;0.998943383;0.88051422;0.772651228;3.7921551339999997;4.3022;4.902792023;3.7881482789999996
08.02.2019;0.881367883;0.7711087609999999;1.000969505;1.1346;0.8749;1.1357;1.296833924;1.14298777;1.29809121;0.999031434;0.88051422;0.770361891;3.795522651;4.3064;4.922162533;3.7918464380000003
09.02.2019;0.881367883;0.7711087609999999;1.000969505;1.1346;0.8749;1.1357;1.296833924;1.14298777;1.29809121;0.999031434;0.88051422;0.770361891;3.795522651;4.3064;4.922162533;3.7918464380000003
10.02.2019;0.881367883;0.7711087609999999;1.000969505;1.1346;0.8749;1.1357;1.296833924;1.14298777;1.29809121;0.999031434;0.88051422;0.770361891;3.795522651;4.3064;4.922162533;3.7918464380000003
11.02.2019;0.884251481;0.774736935;1.0037138559999998;1.1309;0.87615;1.1351;1.290760715;1.141357074;1.2955544140000002;0.996299886;0.880979649;0.77187032;3.816252542;4.3158;4.925868858;3.802131971
12.02.2019;0.8852691220000001;0.776425283;1.007524788;1.1296;0.87705;1.1381;1.287953937;1.14018585;1.297645516;0.9925314120000001;0.878657412;0.7706264829999999;3.829585694;4.3259;4.93232997;3.800984096
13.02.2019;0.884564352;0.774462627;1.005838125;1.1305;0.8755299999999999;1.1371;1.2912178909999998;1.1421653170000001;1.298756182;0.994195761;0.8794301290000001;0.7699674609999999;3.828836798;4.3285;4.943862575;3.806613315
14.02.2019;0.887468939;0.7804845579999999;1.0090521829999999;1.1268;0.87945;1.137;1.28125533;1.1370743079999999;1.292853488;0.991029024;0.8795074759999999;0.77348285;3.8500177489999996;4.3382;4.932855762;3.815479332
15.02.2019;0.888099467;0.780976909;1.007104796;1.126;0.8793799999999999;1.1340000000000001;1.280447588;1.137164821;1.289544907;0.992945326;0.881834215;0.775467372;3.846092362;4.3307;4.924719689;3.818959436
16.02.2019;0.888099467;0.780976909;1.007104796;1.126;0.8793799999999999;1.1340000000000001;1.280447588;1.137164821;1.289544907;0.992945326;0.881834215;0.775467372;3.846092362;4.3307;4.924719689;3.818959436
17.02.2019;0.888099467;0.780976909;1.007104796;1.126;0.8793799999999999;1.1340000000000001;1.280447588;1.137164821;1.289544907;0.992945326;0.881834215;0.775467372;3.846092362;4.3307;4.924719689;3.818959436
18.02.2019;0.8827683620000001;0.7734816379999999;1.0029131359999999;1.1328;0.8762;1.1361;1.292855512;1.141291943;1.2966217759999998;0.997095326;0.880204207;0.7712349270000001;3.8216807910000004;4.3292;4.940881077;3.810580055
19.02.2019;0.88542589;0.771958562;1.005046928;1.1294;0.87185;1.1351;1.29540632;1.146986294;1.301944142;0.9949784159999999;0.880979649;0.768082107;3.838055605;4.3347;4.971841487;3.8187824860000004
20.02.2019;0.8816787159999999;0.76657556;1.0;1.1342;0.86945;1.1342;1.304502847;1.150152395;1.304502847;1.0;0.8816787159999999;0.76657556;3.830453183;4.3445;4.996837081000001;3.830453183
21.02.2019;0.880746873;0.764532323;1.001144971;1.1354;0.86805;1.1367;1.307989171;1.152007373;1.309486781;0.998856339;0.879739597;0.763657957;3.817685397;4.3346;4.993491158;3.813319258
22.02.2019;0.883002208;0.7705342159999999;1.001854305;1.1325;0.8726299999999999;1.1346;1.297800901;1.14596106;1.3002074190000001;0.998149127;0.881367883;0.769108056;3.829580574;4.337;4.970033118;3.8224925080000003
23.02.2019;0.883002208;0.7705342159999999;1.001854305;1.1325;0.8726299999999999;1.1346;1.297800901;1.14596106;1.3002074190000001;0.998149127;0.881367883;0.769108056;3.829580574;4.337;4.970033118;3.8224925080000003
24.02.2019;0.883002208;0.7705342159999999;1.001854305;1.1325;0.8726299999999999;1.1346;1.297800901;1.14596106;1.3002074190000001;0.998149127;0.881367883;0.769108056;3.829580574;4.337;4.970033118;3.8224925080000003
25.02.2019;0.8806693090000001;0.7646675470000001;0.999647732;1.1355;0.8682799999999999;1.1351;1.307757866;1.151702216;1.307297185;1.000352392;0.880979649;0.76493701;3.818582122;4.336;4.993780808;3.81992776
